# Wave normal angle (WNA) probability density function of lower band chorus in each MLT bin in figure 5
# WNA (degrees),0<=MLT<1,1<=MLT<2,2<=MLT<3,3<=MLT<4,4<=MLT<5,5<=MLT<6,6<=MLT<7,7<=MLT<8,8<=MLT<9,9<=MLT<10,10<=MLT<11,11<=MLT<12,12<=MLT<13,13<=MLT<14,14<=MLT<15,15<=MLT<16,16<=MLT<17,17<=MLT<18,18<=MLT<19,19<=MLT<20,20<=MLT<21,21<=MLT<22,22<=MLT<23,23<=MLT<24
1.5000,0.0014,0.0014,0.0020,0.0010,0.0008,0.0006,0.0005,0.0009,0.0010,0.0008,0.0005,0.0006,0.0004,0.0004,0.0003,0.0003,0.0004,0.0008,0.0006,0.0009,0.0017,0.0016,0.0023,0.0012
4.5000,0.0081,0.0092,0.0103,0.0080,0.0069,0.0065,0.0081,0.0123,0.0145,0.0167,0.0173,0.0161,0.0169,0.0188,0.0177,0.0179,0.0196,0.0191,0.0157,0.0157,0.0232,0.0199,0.0158,0.0111
7.5000,0.0161,0.0169,0.0175,0.0185,0.0166,0.0191,0.0238,0.0314,0.0417,0.0470,0.0516,0.0547,0.0589,0.0650,0.0651,0.0689,0.0636,0.0632,0.0549,0.0488,0.0613,0.0581,0.0308,0.0280
10.5000,0.0201,0.0190,0.0207,0.0244,0.0235,0.0275,0.0344,0.0460,0.0558,0.0611,0.0655,0.0719,0.0720,0.0791,0.0791,0.0793,0.0733,0.0764,0.0720,0.0649,0.0618,0.0580,0.0351,0.0302
13.5000,0.0192,0.0189,0.0207,0.0237,0.0250,0.0301,0.0393,0.0476,0.0514,0.0537,0.0586,0.0638,0.0625,0.0639,0.0591,0.0571,0.0621,0.0625,0.0627,0.0592,0.0485,0.0445,0.0300,0.0255
16.5000,0.0170,0.0172,0.0189,0.0215,0.0216,0.0273,0.0351,0.0394,0.0405,0.0406,0.0438,0.0446,0.0432,0.0414,0.0384,0.0376,0.0429,0.0407,0.0442,0.0389,0.0348,0.0290,0.0272,0.0196
19.5000,0.0149,0.0151,0.0159,0.0182,0.0182,0.0231,0.0285,0.0295,0.0296,0.0278,0.0294,0.0281,0.0267,0.0231,0.0226,0.0237,0.0258,0.0251,0.0278,0.0253,0.0236,0.0186,0.0193,0.0145
22.5000,0.0121,0.0129,0.0119,0.0151,0.0147,0.0188,0.0219,0.0208,0.0214,0.0193,0.0188,0.0158,0.0157,0.0129,0.0138,0.0148,0.0144,0.0144,0.0162,0.0175,0.0151,0.0136,0.0135,0.0121
25.5000,0.0102,0.0102,0.0102,0.0128,0.0120,0.0153,0.0169,0.0142,0.0145,0.0127,0.0122,0.0092,0.0095,0.0078,0.0088,0.0087,0.0080,0.0091,0.0093,0.0122,0.0080,0.0098,0.0097,0.0097
28.5000,0.0087,0.0083,0.0083,0.0107,0.0107,0.0126,0.0133,0.0099,0.0101,0.0090,0.0079,0.0055,0.0061,0.0050,0.0061,0.0055,0.0049,0.0050,0.0055,0.0083,0.0049,0.0062,0.0065,0.0079
