# Wave normal angle (WNA) probability density function of upper band chorus in each L* and fpe/fce bin in figure 7
# WNA (degrees),Figure7a,Figure7b,Figure7c,Figure7d,Figure7e,Figure7f
1.5000,0.0018,0.0118,0.0625,0.0011,0.0010,0.0144
4.5000,0.0044,0.0303,0.0920,0.0048,0.0053,0.0313
7.5000,0.0057,0.0211,0.0380,0.0086,0.0094,0.0286
10.5000,0.0054,0.0157,0.0178,0.0115,0.0114,0.0259
13.5000,0.0057,0.0130,0.0104,0.0123,0.0125,0.0213
16.5000,0.0061,0.0116,0.0081,0.0126,0.0128,0.0199
19.5000,0.0069,0.0107,0.0083,0.0128,0.0126,0.0181
22.5000,0.0072,0.0091,0.0095,0.0131,0.0127,0.0158
25.5000,0.0095,0.0103,0.0066,0.0139,0.0129,0.0152
28.5000,0.0093,0.0093,0.0059,0.0136,0.0140,0.0143
31.5000,0.0113,0.0106,0.0065,0.0147,0.0144,0.0139
34.5000,0.0150,0.0115,0.0055,0.0157,0.0159,0.0123
37.5000,0.0180,0.0147,0.0049,0.0163,0.0175,0.0127
40.5000,0.0205,0.0211,0.0052,0.0172,0.0198,0.0127
43.5000,0.0286,0.0208,0.0069,0.0202,0.0219,0.0115
46.5000,0.0350,0.0226,0.0104,0.0263,0.0254,0.0125
49.5000,0.0464,0.0256,0.0107,0.0319,0.0299,0.0120
52.5000,0.0507,0.0264,0.0093,0.0359,0.0327,0.0120
55.5000,0.0305,0.0208,0.0086,0.0248,0.0249,0.0089
58.5000,0.0108,0.0093,0.0046,0.0108,0.0115,0.0067
61.5000,0.0031,0.0036,0.0008,0.0073,0.0062,0.0050
64.5000,0.0011,0.0020,0.0005,0.0048,0.0047,0.0039
67.5000,0.0002,0.0009,0.0003,0.0021,0.0024,0.0018
70.5000,0.0002,0.0003,0.0000,0.0007,0.0008,0.0012
73.5000,0.0000,0.0000,0.0000,0.0003,0.0003,0.0006
76.5000,0.0000,0.0001,0.0000,0.0001,0.0001,0.0002
79.5000,0.0001,0.0000,0.0000,0.0001,0.0001,0.0002
82.5000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0002
85.5000,0.0001,0.0000,0.0000,0.0000,0.0001,0.0001
88.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
