# Absolute intensity in pT^2 and number of samples in each L*/MLT bin in Figure 8b
# L*,MLT,Intensity,Counts
0.0500,0.5000,nan,0.0000e+00
0.1500,0.5000,nan,0.0000e+00
0.2500,0.5000,nan,0.0000e+00
0.3500,0.5000,nan,0.0000e+00
0.4500,0.5000,nan,0.0000e+00
0.5500,0.5000,nan,0.0000e+00
0.6500,0.5000,nan,0.0000e+00
0.7500,0.5000,nan,0.0000e+00
0.8500,0.5000,nan,0.0000e+00
0.9500,0.5000,nan,0.0000e+00
1.0500,0.5000,nan,0.0000e+00
1.1500,0.5000,nan,0.0000e+00
1.2500,0.5000,nan,0.0000e+00
1.3500,0.5000,nan,0.0000e+00
1.4500,0.5000,nan,0.0000e+00
1.5500,0.5000,nan,0.0000e+00
1.6500,0.5000,nan,0.0000e+00
1.7500,0.5000,nan,0.0000e+00
1.8500,0.5000,nan,0.0000e+00
1.9500,0.5000,nan,0.0000e+00
2.0500,0.5000,nan,0.0000e+00
2.1500,0.5000,nan,0.0000e+00
2.2500,0.5000,nan,0.0000e+00
2.3500,0.5000,nan,0.0000e+00
2.4500,0.5000,nan,0.0000e+00
2.5500,0.5000,nan,4.9000e+01
2.6500,0.5000,nan,3.2000e+01
2.7500,0.5000,nan,1.1000e+01
2.8500,0.5000,nan,3.0000e+01
2.9500,0.5000,nan,3.6000e+01
3.0500,0.5000,nan,6.5000e+01
3.1500,0.5000,0.0000e+00,1.0600e+02
3.2500,0.5000,0.0000e+00,1.5400e+02
3.3500,0.5000,0.0000e+00,2.0900e+02
3.4500,0.5000,3.9064e-03,2.1200e+02
3.5500,0.5000,1.3397e-01,2.3000e+02
3.6500,0.5000,4.2286e-01,4.2400e+02
3.7500,0.5000,3.5956e-02,7.6900e+02
3.8500,0.5000,4.4128e-01,9.9400e+02
3.9500,0.5000,2.0590e+00,1.0270e+03
4.0500,0.5000,1.8825e+00,1.3320e+03
4.1500,0.5000,3.6610e-01,1.4200e+03
4.2500,0.5000,5.0780e+00,1.4200e+03
4.3500,0.5000,6.9780e+01,1.6700e+03
4.4500,0.5000,1.0955e+01,2.0130e+03
4.5500,0.5000,9.4763e+00,2.3970e+03
4.6500,0.5000,1.7524e+01,2.3500e+03
4.7500,0.5000,4.3160e+01,2.3990e+03
4.8500,0.5000,3.3810e+01,2.3210e+03
4.9500,0.5000,1.8017e+01,2.7600e+03
5.0500,0.5000,1.8414e+01,2.9470e+03
5.1500,0.5000,1.2785e+01,2.4730e+03
5.2500,0.5000,7.4359e+00,2.1510e+03
