# Absolute intensity in pT^2 and number of samples in each L*/MLT bin in Figure 8d
# L*,MLT,Intensity,Counts
0.0500,0.5000,nan,0.0000e+00
0.1500,0.5000,nan,0.0000e+00
0.2500,0.5000,nan,0.0000e+00
0.3500,0.5000,nan,0.0000e+00
0.4500,0.5000,nan,0.0000e+00
0.5500,0.5000,nan,0.0000e+00
0.6500,0.5000,nan,0.0000e+00
0.7500,0.5000,nan,0.0000e+00
0.8500,0.5000,nan,0.0000e+00
0.9500,0.5000,nan,0.0000e+00
1.0500,0.5000,nan,0.0000e+00
1.1500,0.5000,nan,0.0000e+00
1.2500,0.5000,nan,0.0000e+00
1.3500,0.5000,nan,0.0000e+00
1.4500,0.5000,nan,0.0000e+00
1.5500,0.5000,nan,0.0000e+00
1.6500,0.5000,nan,0.0000e+00
1.7500,0.5000,nan,0.0000e+00
1.8500,0.5000,nan,0.0000e+00
1.9500,0.5000,nan,0.0000e+00
2.0500,0.5000,nan,0.0000e+00
2.1500,0.5000,nan,0.0000e+00
2.2500,0.5000,nan,0.0000e+00
2.3500,0.5000,nan,0.0000e+00
2.4500,0.5000,nan,0.0000e+00
2.5500,0.5000,nan,2.6000e+01
2.6500,0.5000,nan,5.2000e+01
2.7500,0.5000,nan,8.0000e+01
2.8500,0.5000,nan,8.9000e+01
2.9500,0.5000,nan,9.0000e+01
3.0500,0.5000,nan,8.1000e+01
3.1500,0.5000,nan,9.3000e+01
3.2500,0.5000,3.2819e-01,1.0500e+02
3.3500,0.5000,nan,6.9000e+01
3.4500,0.5000,nan,5.4000e+01
3.5500,0.5000,nan,5.9000e+01
3.6500,0.5000,0.0000e+00,1.0800e+02
3.7500,0.5000,0.0000e+00,2.2400e+02
3.8500,0.5000,0.0000e+00,3.2100e+02
3.9500,0.5000,1.3994e+00,3.6500e+02
4.0500,0.5000,9.0817e+00,3.7700e+02
4.1500,0.5000,1.5478e+00,3.8700e+02
4.2500,0.5000,6.7542e-01,4.5000e+02
4.3500,0.5000,3.4878e-01,3.7000e+02
4.4500,0.5000,1.3830e-01,5.4800e+02
4.5500,0.5000,2.3999e+00,6.0400e+02
4.6500,0.5000,9.3792e+00,7.5400e+02
4.7500,0.5000,1.8755e+00,9.9200e+02
4.8500,0.5000,2.5902e+00,7.9000e+02
4.9500,0.5000,2.7613e+00,8.0400e+02
5.0500,0.5000,9.6174e+00,1.1630e+03
5.1500,0.5000,1.2931e+00,1.5380e+03
5.2500,0.5000,2.2854e+00,2.1240e+03
5.3500,0.5000,2.2516e+00,2.0520e+03
