# Absolute intensity in pT^2 and number of samples in each L*/MLT bin in Figure 9a
# L*,MLT,Intensity,Counts
0.0500,0.5000,nan,0.0000e+00
0.1500,0.5000,nan,0.0000e+00
0.2500,0.5000,nan,0.0000e+00
0.3500,0.5000,nan,0.0000e+00
0.4500,0.5000,nan,0.0000e+00
0.5500,0.5000,nan,0.0000e+00
0.6500,0.5000,nan,0.0000e+00
0.7500,0.5000,nan,0.0000e+00
0.8500,0.5000,nan,0.0000e+00
0.9500,0.5000,nan,0.0000e+00
1.0500,0.5000,nan,0.0000e+00
1.1500,0.5000,nan,0.0000e+00
1.2500,0.5000,nan,0.0000e+00
1.3500,0.5000,nan,0.0000e+00
1.4500,0.5000,nan,0.0000e+00
1.5500,0.5000,nan,0.0000e+00
1.6500,0.5000,nan,0.0000e+00
1.7500,0.5000,nan,0.0000e+00
1.8500,0.5000,nan,0.0000e+00
1.9500,0.5000,nan,0.0000e+00
2.0500,0.5000,nan,0.0000e+00
2.1500,0.5000,nan,0.0000e+00
2.2500,0.5000,nan,0.0000e+00
2.3500,0.5000,nan,0.0000e+00
2.4500,0.5000,nan,0.0000e+00
2.5500,0.5000,nan,5.4000e+01
2.6500,0.5000,nan,6.4000e+01
2.7500,0.5000,nan,6.7000e+01
2.8500,0.5000,nan,6.8000e+01
2.9500,0.5000,nan,7.2000e+01
3.0500,0.5000,nan,7.5000e+01
3.1500,0.5000,nan,2.7000e+01
3.2500,0.5000,nan,0.0000e+00
3.3500,0.5000,nan,7.0000e+01
3.4500,0.5000,2.6259e+00,1.3000e+02
3.5500,0.5000,9.7348e+00,2.2500e+02
3.6500,0.5000,1.3629e+01,3.1600e+02
3.7500,0.5000,1.2382e+01,3.4300e+02
3.8500,0.5000,6.0116e+00,2.8800e+02
3.9500,0.5000,8.0353e-01,3.0700e+02
4.0500,0.5000,7.3304e+01,3.0500e+02
4.1500,0.5000,3.1914e+00,2.6200e+02
4.2500,0.5000,8.8826e-01,3.1400e+02
4.3500,0.5000,3.2036e-01,4.1500e+02
4.4500,0.5000,1.0331e+00,5.6600e+02
4.5500,0.5000,1.7082e+00,8.2700e+02
4.6500,0.5000,1.5227e+00,9.7600e+02
4.7500,0.5000,3.7878e+00,1.1610e+03
4.8500,0.5000,2.3369e+01,1.5670e+03
4.9500,0.5000,3.3359e+00,1.8310e+03
5.0500,0.5000,6.9304e+00,2.1440e+03
5.1500,0.5000,9.1742e+00,2.5050e+03
5.2500,0.5000,2.8920e+01,3.7930e+03
5.3500,0.5000,1.2223e+02,4.5840e+03
