# Absolute intensity in pT^2 and number of samples in each L*/MLT bin in Figure 9f
# L*,MLT,Intensity,Counts
0.0500,0.5000,nan,0.0000e+00
0.1500,0.5000,nan,0.0000e+00
0.2500,0.5000,nan,0.0000e+00
0.3500,0.5000,nan,0.0000e+00
0.4500,0.5000,nan,0.0000e+00
0.5500,0.5000,nan,0.0000e+00
0.6500,0.5000,nan,0.0000e+00
0.7500,0.5000,nan,0.0000e+00
0.8500,0.5000,nan,0.0000e+00
0.9500,0.5000,nan,0.0000e+00
1.0500,0.5000,nan,0.0000e+00
1.1500,0.5000,nan,0.0000e+00
1.2500,0.5000,nan,0.0000e+00
1.3500,0.5000,nan,0.0000e+00
1.4500,0.5000,nan,0.0000e+00
1.5500,0.5000,nan,0.0000e+00
1.6500,0.5000,nan,0.0000e+00
1.7500,0.5000,nan,0.0000e+00
1.8500,0.5000,nan,0.0000e+00
1.9500,0.5000,nan,0.0000e+00
2.0500,0.5000,nan,0.0000e+00
2.1500,0.5000,nan,0.0000e+00
2.2500,0.5000,nan,0.0000e+00
2.3500,0.5000,nan,0.0000e+00
2.4500,0.5000,nan,0.0000e+00
2.5500,0.5000,nan,1.2000e+01
2.6500,0.5000,nan,2.9000e+01
2.7500,0.5000,nan,5.8000e+01
2.8500,0.5000,nan,6.2000e+01
2.9500,0.5000,nan,7.0000e+01
3.0500,0.5000,nan,9.3000e+01
3.1500,0.5000,nan,8.7000e+01
3.2500,0.5000,nan,3.3000e+01
3.3500,0.5000,nan,3.7000e+01
3.4500,0.5000,nan,8.8000e+01
3.5500,0.5000,nan,9.1000e+01
3.6500,0.5000,nan,6.6000e+01
3.7500,0.5000,nan,5.7000e+01
3.8500,0.5000,nan,9.2000e+01
3.9500,0.5000,nan,9.2000e+01
4.0500,0.5000,nan,6.0000e+01
4.1500,0.5000,1.0291e+01,1.0100e+02
4.2500,0.5000,3.9233e+03,1.5000e+02
4.3500,0.5000,2.2141e+03,3.4500e+02
4.4500,0.5000,3.4577e+03,5.8000e+02
4.5500,0.5000,nan,8.4000e+01
4.6500,0.5000,1.7217e+03,1.1200e+02
4.7500,0.5000,1.1773e+03,1.4700e+02
4.8500,0.5000,7.2863e+01,2.3400e+02
4.9500,0.5000,7.2622e+02,4.0400e+02
5.0500,0.5000,3.0774e+02,8.6000e+02
5.1500,0.5000,4.8011e+02,4.3200e+02
5.2500,0.5000,2.8706e+02,2.9300e+02
5.3500,0.5000,8.0859e+01,2.4900e+02
5.4500,0.5000,7.2060e+02,2.3800e+02
